dataset,model,attack_score,sample_size,metric,n_repeats,mean,std,p025,median,p975,interval_width,min,max,instability_note
adult_income,extra_trees,neg_entropy,250,TPR@0.1%FPR,50,0.0037760240114453,0.0004022810022161,0.0032144938394938,0.003731343283582,0.0045271915584415,0.0013126977189477,0.003012048192771,0.0048076923076923,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_entropy,250,TPR@1%FPR,50,0.037760240114453,0.004022810022161,0.0321449383949384,0.0373134328358208,0.0452719155844155,0.0131269771894771,0.0301204819277108,0.048076923076923,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_entropy,250,membership_advantage@0.1%FPR,50,0.0027760240114453,0.0004022810022161,0.0022144938394938,0.002731343283582,0.0035271915584415,0.0013126977189477,0.002012048192771,0.0038076923076923,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_entropy,250,membership_advantage@1%FPR,50,0.027760240114453,0.004022810022161,0.0221449383949383,0.0273134328358208,0.0352719155844155,0.0131269771894771,0.0201204819277108,0.038076923076923,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_entropy,500,AUC,50,0.86648528,0.0107586891452482,0.84436525,0.868,0.8817749999999999,0.0374097499999999,0.833,0.8840000000000001,
adult_income,extra_trees,neg_entropy,500,TPR@0.1%FPR,50,0.0037726100505834,0.0002961975161934,0.0032351315789473,0.0037878787878787,0.0042521077792264,0.001016976200279,0.0029940119760479,0.0043103448275862,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_entropy,500,TPR@1%FPR,50,0.0377261005058345,0.0029619751619349,0.0323513157894736,0.0378787878787878,0.0425210777922642,0.0101697620027905,0.029940119760479,0.043103448275862,
adult_income,extra_trees,neg_entropy,500,membership_advantage@0.1%FPR,50,0.0027726100505834,0.0002961975161934,0.0022351315789473,0.0027878787878787,0.0032521077792264,0.001016976200279,0.0019940119760479,0.0033103448275862,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_entropy,500,membership_advantage@1%FPR,50,0.0277261005058345,0.0029619751619349,0.0223513157894736,0.0278787878787878,0.0325210777922642,0.0101697620027905,0.019940119760479,0.033103448275862,
adult_income,extra_trees,neg_entropy,1000,AUC,50,0.86861764,0.0072662362460961,0.8560625000000001,0.869,0.8801898375,0.0241273374999999,0.8524999999999999,0.881,
adult_income,extra_trees,neg_entropy,1000,TPR@0.1%FPR,50,0.0038184544129039,0.0002110621358844,0.0034739144207807,0.0038167938931297,0.0041792403242677,0.000705325903487,0.0033898305084745,0.0042016806722689,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_entropy,1000,TPR@1%FPR,50,0.0381845441290391,0.002110621358844,0.0347391442078074,0.0381679389312977,0.0417924032426778,0.0070532590348704,0.0338983050847457,0.042016806722689,
adult_income,extra_trees,neg_entropy,1000,membership_advantage@0.1%FPR,50,0.0028184544129039,0.0002110621358844,0.0024739144207807,0.0028167938931297,0.0031792403242677,0.000705325903487,0.0023898305084745,0.0032016806722689,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_entropy,1000,membership_advantage@1%FPR,50,0.0281845441290391,0.002110621358844,0.0247391442078073,0.0281679389312977,0.0317924032426778,0.0070532590348704,0.0238983050847457,0.032016806722689,
adult_income,extra_trees,neg_entropy,2000,AUC,50,0.8684697175000001,0.004635522484394,0.85860341875,0.868940625,0.87712025625,0.0185168374999999,0.8565,0.8785,
adult_income,extra_trees,neg_entropy,2000,TPR@0.1%FPR,50,0.0038082911200515,0.0001325731910847,0.0035382925070909,0.0038204428356662,0.0040719016697588,0.0005336091626678,0.0034843205574912,0.0041152263374485,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_entropy,2000,TPR@1%FPR,50,0.0380829112005155,0.0013257319108476,0.0353829250709095,0.0382044283566622,0.0407190166975881,0.0053360916266785,0.0348432055749129,0.0411522633744856,
adult_income,extra_trees,neg_entropy,2000,membership_advantage@0.1%FPR,50,0.0028082911200515,0.0001325731910847,0.0025382925070909,0.0028204428356662,0.0030719016697588,0.0005336091626678,0.0024843205574912,0.0031152263374485,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_entropy,2000,membership_advantage@1%FPR,50,0.0280829112005155,0.0013257319108476,0.0253829250709095,0.0282044283566622,0.0307190166975881,0.0053360916266785,0.0248432055749128,0.0311522633744855,
adult_income,extra_trees,neg_entropy,5000,AUC,50,0.8680317516000001,0.0022360355432029,0.8640934665,0.8680500000000001,0.872395057,0.0083015905,0.86212772,0.8728,
adult_income,extra_trees,neg_entropy,5000,TPR@0.1%FPR,50,0.0037916968657951,6.367587415437558e-05,0.0036860066371681,0.0037893146782456,0.0039219425953682,0.0002359359582001,0.0036303558460421,0.0039308176100628,
adult_income,extra_trees,neg_entropy,5000,TPR@1%FPR,50,0.0379169686579511,0.0006367587415437,0.0368600663716814,0.0378931467824568,0.0392194259536824,0.002359359582001,0.0363035584604212,0.0393081761006289,
adult_income,extra_trees,neg_entropy,5000,membership_advantage@0.1%FPR,50,0.0027916968657951,6.367587415437558e-05,0.0026860066371681,0.0027893146782456,0.0029219425953682,0.0002359359582001,0.0026303558460421,0.0029308176100628,
adult_income,extra_trees,neg_entropy,5000,membership_advantage@1%FPR,50,0.0279169686579511,0.0006367587415437,0.0268600663716814,0.0278931467824568,0.0292194259536824,0.002359359582001,0.0263035584604212,0.0293081761006289,
adult_income,extra_trees,neg_loss,250,AUC,50,0.8679614399999999,0.0133855895407512,0.84645,0.869,0.89265,0.0462,0.84,0.8979999999999999,
adult_income,extra_trees,neg_loss,250,TPR@0.1%FPR,50,0.0038295922300647,0.0004020415299177,0.0032563653451811,0.0038170163170163,0.0046601246630727,0.0014037593178916,0.003125,0.0049019607843137,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_loss,250,TPR@1%FPR,50,0.0382959223006476,0.0040204152991774,0.0325636534518113,0.0381701631701631,0.0466012466307277,0.0140375931789164,0.03125,0.0490196078431372,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_loss,250,membership_advantage@0.1%FPR,50,0.0028295922300647,0.0004020415299177,0.0022563653451811,0.0028170163170163,0.0036601246630727,0.0014037593178916,0.002125,0.0039019607843137,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_loss,250,membership_advantage@1%FPR,50,0.0282959223006476,0.0040204152991774,0.0225636534518113,0.0281701631701631,0.0366012466307277,0.0140375931789164,0.0212499999999999,0.0390196078431372,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_loss,500,AUC,50,0.8683773999999999,0.0107587965964638,0.8455745000000001,0.869,0.884775,0.0392004999999998,0.836,0.885,
adult_income,extra_trees,neg_loss,500,TPR@0.1%FPR,50,0.0038266272296726,0.0003048630710229,0.003256234411284,0.0038167938931297,0.0043478260869565,0.0010915916756724,0.0030487804878048,0.0043684210526315,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_loss,500,TPR@1%FPR,50,0.038266272296726,0.003048630710229,0.0325623441128408,0.0381679389312977,0.0434782608695652,0.0109159167567244,0.0304878048780487,0.0436842105263157,
adult_income,extra_trees,neg_loss,500,membership_advantage@0.1%FPR,50,0.0028266272296726,0.0003048630710229,0.002256234411284,0.0028167938931297,0.0033478260869565,0.0010915916756724,0.0020487804878048,0.0033684210526315,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,neg_loss,500,membership_advantage@1%FPR,50,0.028266272296726,0.003048630710229,0.0225623441128408,0.0281679389312977,0.0334782608695652,0.0109159167567244,0.0204878048780487,0.0336842105263157,
adult_income,extra_trees,neg_loss,1000,AUC,50,0.87035782,0.0073493940821745,0.8578375,0.87075,0.8819374999999999,0.0240999999999999,0.8545,0.8825000000000001,
adult_income,extra_trees,neg_loss,1000,TPR@0.1%FPR,50,0.0038699323019133,0.0002180775234775,0.0035171705860395,0.0038684864266259,0.0042383535119736,0.000721182925934,0.0034364261168384,0.0042553191489361,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_loss,1000,TPR@1%FPR,50,0.0386993230191339,0.0021807752347759,0.0351717058603956,0.0386848642662596,0.0423835351197365,0.0072118292593408,0.0343642611683848,0.0425531914893617,
adult_income,extra_trees,neg_loss,1000,membership_advantage@0.1%FPR,50,0.0028699323019133,0.0002180775234775,0.0025171705860395,0.0028684864266259,0.0032383535119736,0.000721182925934,0.0024364261168384,0.0032553191489361,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_loss,1000,membership_advantage@1%FPR,50,0.0286993230191339,0.0021807752347759,0.0251717058603956,0.0286848642662596,0.0323835351197364,0.0072118292593408,0.0243642611683848,0.0325531914893617,
adult_income,extra_trees,neg_loss,2000,AUC,50,0.870218115,0.0046217579035642,0.86028391875,0.8705,0.87833234375,0.018048425,0.85875,0.8797499999999999,
adult_income,extra_trees,neg_loss,2000,TPR@0.1%FPR,50,0.0038591797096987,0.0001355130136359,0.0035803040984317,0.0038610182503922,0.0041119149851974,0.0005316108867657,0.0035398230088495,0.0041580041580041,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_loss,2000,TPR@1%FPR,50,0.0385917970969871,0.0013551301363596,0.0358030409843173,0.0386101825039225,0.0411191498519747,0.0053161088676573,0.0353982300884955,0.0415800415800415,
adult_income,extra_trees,neg_loss,2000,membership_advantage@0.1%FPR,50,0.0028591797096987,0.0001355130136359,0.0025803040984317,0.0028610182503922,0.0031119149851974,0.0005316108867657,0.0025398230088495,0.0031580041580041,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,neg_loss,2000,membership_advantage@1%FPR,50,0.0285917970969871,0.0013551301363596,0.0258030409843173,0.0286101825039225,0.0311191498519747,0.0053161088676573,0.0253982300884955,0.0315800415800415,
adult_income,extra_trees,neg_loss,5000,AUC,50,0.86977461,0.002313835627465,0.865899308,0.8696605399999999,0.8739325,0.0080331919999999,0.86336028,0.8743601399999998,
adult_income,extra_trees,neg_loss,5000,TPR@0.1%FPR,50,0.0038421441313743,6.776719791821936e-05,0.0037340608928508,0.0038394799914818,0.0039661331674395,0.0002320722745887,0.003662271062271,0.0039832669322709,
adult_income,extra_trees,neg_loss,5000,TPR@1%FPR,50,0.0384214413137432,0.0006776719791821,0.0373406089285085,0.0383947999148184,0.0396613316743958,0.0023207227458872,0.0366227106227106,0.0398326693227091,
adult_income,extra_trees,neg_loss,5000,membership_advantage@0.1%FPR,50,0.0028421441313743,6.776719791821937e-05,0.0027340608928508,0.0028394799914818,0.0029661331674395,0.0002320722745887,0.002662271062271,0.0029832669322709,
adult_income,extra_trees,neg_loss,5000,membership_advantage@1%FPR,50,0.0284214413137432,0.0006776719791821,0.0273406089285085,0.0283947999148184,0.0296613316743958,0.0023207227458872,0.0266227106227106,0.0298326693227091,
adult_income,hist_gradient_boosting,confidence,250,AUC,50,0.50892736,0.0210321580071847,0.4677094,0.506184,0.5516562,0.0839468,0.454384,0.564648,
adult_income,hist_gradient_boosting,confidence,250,TPR@0.1%FPR,50,0.00264,0.0037566811231756,0.0,0.0,0.012,0.012,0.0,0.012,severe_tail_resolution_warning: expected false positives < 1
adult_income,hist_gradient_boosting,confidence,250,TPR@1%FPR,50,0.01316,0.0102387020861124,0.0,0.012,0.0350999999999999,0.0350999999999999,0.0,0.04,tail_resolution_warning: expected false positives < 5
adult_income,hist_gradient_boosting,confidence,250,membership_advantage@0.1%FPR,50,0.0016399999999999,0.0037566811231756,-0.001,-0.001,0.011,0.012,-0.001,0.011,severe_tail_resolution_warning: expected false positives < 1
adult_income,hist_gradient_boosting,confidence,250,membership_advantage@1%FPR,50,0.00316,0.0102387020861124,-0.01,0.002,0.0250999999999999,0.0350999999999999,-0.01,0.03,tail_resolution_warning: expected false positives < 5
adult_income,hist_gradient_boosting,confidence,500,AUC,50,0.50285172,0.017245242263776,0.47764175,0.5053559999999999,0.5350553,0.0574135499999999,0.474008,0.55033,
adult_income,hist_gradient_boosting,confidence,500,TPR@0.1%FPR,50,0.0013,0.0023057160559384,0.0,0.0,0.0075499999999999,0.0075499999999999,0.0,0.012,severe_tail_resolution_warning: expected false positives < 1
adult_income,hist_gradient_boosting,confidence,500,TPR@1%FPR,50,0.0107333333333333,0.006507278325215,0.002,0.01,0.0210999999999999,0.0190999999999999,0.0,0.032,
adult_income,hist_gradient_boosting,confidence,500,membership_advantage@0.1%FPR,50,0.0003,0.0023057160559384,-0.001,-0.001,0.0065499999999999,0.0075499999999999,-0.001,0.011,severe_tail_resolution_warning: expected false positives < 1
adult_income,hist_gradient_boosting,confidence,500,membership_advantage@1%FPR,50,0.0007333333333333,0.006507278325215,-0.008,0.0,0.0110999999999999,0.0190999999999999,-0.01,0.022,
adult_income,hist_gradient_boosting,confidence,1000,AUC,50,0.50453107,0.012990410157548,0.4803832,0.50594125,0.525857625,0.0454744249999999,0.4799515,0.5302445,
adult_income,hist_gradient_boosting,confidence,1000,TPR@0.1%FPR,50,0.00089,0.0011306942061207,0.0,0.001,0.0037749999999999,0.0037749999999999,0.0,0.005,tail_resolution_warning: expected false positives < 5
adult_income,hist_gradient_boosting,confidence,1000,TPR@1%FPR,50,0.01121,0.0050730279168261,0.0028375,0.011,0.0215499999999999,0.0187124999999999,0.001,0.024,
adult_income,hist_gradient_boosting,confidence,1000,membership_advantage@0.1%FPR,50,-0.0001099999999999,0.0011306942061207,-0.001,0.0,0.0027749999999999,0.0037749999999999,-0.001,0.004,tail_resolution_warning: expected false positives < 5
adult_income,hist_gradient_boosting,confidence,1000,membership_advantage@1%FPR,50,0.00121,0.0050730279168261,-0.0071625,0.001,0.0115499999999999,0.0187124999999999,-0.0089999999999999,0.014,
adult_income,hist_gradient_boosting,confidence,2000,AUC,50,0.5045254975,0.0088457419889173,0.4855164562499999,0.5037461875,0.5213116375,0.03579518125,0.484236,0.525449125,
